mcap_rank,code,name,market,market_cap,close,volume,value_krw
39,138040,메리츠금융지주회사보통주,,18597345117188,115400,168518,19446977200
40,018260,삼성에스디에스보통주,,18022594085693,228000,200600,45736800000
41,033780,케이티앤지보통주,,17845017269897,172300,143949,24802412700
42,000150,두산보통주,,17768871983528,1078000,89390,96362420000
43,010140,삼성중공업보통주,,17763940136719,20200,1990817,40214503400
44,006800,미래에셋증권보통주,,17243710049495,34500,1159636,40007442000
45,079550,LIG넥스원보통주,,17152160696029,695000,279762,194434590000
46,035720,카카오보통주,,17048562918091,35800,10109356,361914944800
47,010950,S-OIL보통주,,16312592466187,141100,210251,29666416100
48,003550,LG보통주,,16148606590700,107700,325170,35020809000
49,024110,중소기업은행보통주,,15908646771240,20000,721725,14434500000
50,267250,에이치디현대보통주,,15653056472778,213000,132702,28265526000
51,086280,현대글로비스보통주,,14985000000000,196700,101643,19993178100
52,064350,현대로템보통주,,14974322988892,130100,530846,69063064600
53,003670,포스코퓨처엠보통주,,14524912807465,154900,230420,35692058000
54,278470,에이피알보통주,,14451128265381,385000,202610,78004850000
55,272210,한화시스템보통주,,14080593296814,70300,298039,20952141700
56,011070,LG이노텍보통주,,13891065557480,550000,223664,123015200000
57,047810,한국항공우주산업보통주,,13129896681976,130000,252741,32856330000
58,000720,현대건설보통주,,12727657586169,105600,640873,67676188800
59,307950,현대오토에버보통주,,12600921239853,448000,71026,31819648000
60,030200,케이티보통주,,12561052743530,52400,206894,10841245600
61,086520,에코프로,,11839148634338,81700,685196,55980513200
62,247540,에코프로비엠,,11154252587128,105600,317914,33571718400
63,071050,한국투자금융지주보통주,,10709910340309,184500,169238,31224411000
64,078930,GS보통주,,10662641926539,116200,575218,66840331600
65,003230,삼양식품보통주,,10419004781723,1366000,51487,70331242000
66,005940,엔에이치투자증권보통주,,10197527797127,26100,351589,9176472900
67,323410,카카오뱅크보통주,,10103667810059,21300,577709,12305201700
68,005830,DB손해보험보통주,,9711553025055,177800,308932,54928109600
69,259960,크래프톤보통주,,9649537878036,222000,88499,19646778000
70,028050,삼성E&A보통주,,9417800000000,45150,1553910,70159036500
71,003490,대한항공보통주,,9248030507171,25800,3922193,101192579400
72,277810,레인보우로보틱스,,9147032371521,454000,104101,47261854000
73,443060,에이치디현대마린솔루션보통주,,9064582206726,197700,87347,17268501900
74,047050,포스코인터내셔널보통주,,8914246749878,50600,405657,20526244200
75,006260,LS보통주,,8694891597748,293500,270696,79449276000
76,090430,아모레퍼시픽 보통주,,8450423229837,138000,207098,28579524000
77,016360,삼성증권보통주,,8251320281982,92000,928948,85463216000
78,161390,한국타이어앤테크놀로지보통주,,8112252159119,66000,162112,10699392000
79,036930,주성엔지니어링,,7961961991882,168600,800850,135023310000
80,007660,이수페타시스보통주,,7707967872620,99300,525807,52212635100
81,180640,한진칼보통주,,7609062413466,117900,60924,7182939600
82,009830,한화솔루션보통주,,7514286527805,32050,2701323,86577402150
83,352820,하이브보통주,,7454786441803,167900,175376,29445630400
84,064400,엘지씨엔에스보통주,,7150182975769,71600,541757,38789801200
85,039490,키움증권보통주,,6981718637466,268000,78031,20912308000
86,047040,대우건설보통주,,6787112653198,15930,2630537,41904454410
87,326030,에스케이바이오팜보통주,,6774095924377,83700,120200,10060740000
88,021240,코웨이보통주,,6548537001038,95900,123816,11873954400
89,000100,유한양행보통주,,6207790172672,82300,266255,21912786500
90,032640,LG유플러스보통주,,6142937280273,14870,835760,12427751200
91,377300,카카오페이보통주,,6080507407379,42500,675943,28727577500
92,267270,에이치디현대건설기계보통주,,5841679352570,115500,267520,30898560000
93,353200,대덕전자보통주,,5653543361950,104300,668559,69730703700
94,241560,두산밥캣보통주,,5627971801758,57900,103883,6014825700
95,240810,원익아이피에스,,5541883004379,107900,579449,62522547100
96,062040,산일전기보통주,,5480311962891,164800,405679,66855899200
97,010060,오씨아이홀딩스보통주,,5372408638000,265000,276693,73323645000
98,028300,에이치엘비,,5304393768311,38650,573253,22156228450
99,058470,리노공업,,5274744155884,65700,341168,22414737600
100,001440,대한전선보통주,,5266285029602,26650,1054132,28092617800
101,128940,한미약품보통주,,5059405357361,415500,124032,51535296000
102,039030,이오테크닉스,,5022393817902,404500,99511,40252199500
103,271560,오리온보통주,,4924372200012,125400,142647,17887933800
104,029780,삼성카드 보통주,,4914027429199,46150,55556,2563909400
105,000500,가온전선보통주,,4910327388382,158200,87609,13859743800
106,175330,JB금융지주보통주,,4858332348633,26600,187709,4993059400
107,034220,LG디스플레이보통주,,4825000000000,9500,1845845,17535527500
108,454910,두산로보틱스보통주,,4686484323120,70900,336911,23886989900
109,298380,에이비엘바이오,,4618965854645,75200,286381,21535851200
110,051900,LG생활건강보통주,,4493768017483,313000,73598,23036174000
111,138930,BNK금융지주보통주,,4381071728516,14310,1216329,17405667990
112,087010,펩트론,,4320946039200,178600,102502,18306857200
113,222800,심텍,,4303655976105,99700,912849,91011045300
114,214450,파마리서치,,4296119628906,400500,83923,33611161500
115,036570,엔씨소프트보통주,,4276240957259,224500,55658,12495221000
116,000250,삼천당제약,,4251466062927,168700,136527,23032104900
117,066970,엘앤에프보통주,,4206173675537,104500,362031,37832239500
118,088350,한화생명보험보통주,,4140160325928,5470,3063444,16757038680
119,011790,SKC보통주,,4059695284653,83400,114015,9508851000
120,141080,리가켐 바이오사이언스,,3990901518631,100000,263630,26363000000
121,001040,CJ보통주,,3985221251941,121300,212635,25792625500
122,082740,한화엔진보통주,,3887629673767,44100,576414,25419857400
123,403870,에이치피에스피,,3813617431641,44900,2509334,112669096600
124,000990,DB하이텍보통주,,3812334337234,89700,613862,55063421400
125,108490,로보티즈,,3807400310040,254000,175631,44610274000
126,319660,피에스케이,,3768569603157,122200,286758,35041827600
127,004020,현대제철 보통주,,3689857743073,27000,423606,11437362000
128,001450,현대해상화재보험보통주,,3627735274887,49750,500156,24882761000
129,018880,한온시스템보통주,,3606850399780,3400,2749496,9348286400
130,052690,한국전력기술 보통주,,3583697964478,91500,75632,6920328000
131,004170,신세계보통주,,3465626705170,400500,61468,24617934000
132,095340,아이에스시,,3452309095383,154300,183462,28308186600
133,002380,주식회사케이씨씨,,3350252796888,484000,42478,20559352000
134,103590,일진전기 보통주,,3337408828735,65600,281135,18442456000
135,440110,파두,,3302316663742,61900,470084,29098199600
